Bay;Row;Tier;Area code;Container number;Container type;Description
01;01;01;WH1;AAA1111111;0;Electronics
01;01;02;WH1;BBB1111111;3;Hazardous Materials
01;02;01;WH2;CCC1111111;1;Clothing
01;02;02;WH2;DDD1111111;2;Furniture
01;03;01;YARD01;EEE1111111;4;Oversized Equipment
01;03;02;YARD01;FFF1111111;0;Electronics
02;01;01;YARD02;GGG1111111;1;Clothing
02;01;02;YARD02;HHH1111111;2;Furniture
02;02;01;WH1;III1111111;3;Hazardous Materials
02;02;02;WH1;JJJ1111111;0;Electronics
02;03;01;WH2;KKK1111111;4;Oversized Equipment
02;03;02;WH2;LLL1111111;1;Clothing
03;01;01;YARD01;MMM1111111;2;Furniture
03;01;02;YARD01;NNN1111111;0;Electronics
03;02;01;YARD02;OOO1111111;3;Hazardous Materials
03;02;02;YARD02;PPP1111111;4;Oversized Equipment
03;03;01;WH1;QQQ1111111;1;Clothing
03;03;02;WH1;RRR1111111;2;Furniture
04;01;01;WH2;SSS1111111;0;Electronics
04;01;02;WH2;TTT1111111;3;Hazardous Materials
